Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),745.36,0.00,1124.90,,,,,,768.60,,866.62,879.77,928.47,128.56
Active Decode Throughput Per User (tokens/sec/user),103.94,0.00,298.58,,,,,,103.39,,112.83,118.35,128.84,8.35
Active Prefill Throughput (tokens/sec),2116.94,1107.22,10992.53,,,,,,1603.50,,3053.38,4422.64,10992.53,1478.87
Active Prefill Throughput Per User (tokens/sec/user),1454.51,1107.22,1743.44,,,,,,1425.56,,1692.72,1721.78,1743.44,144.29
Active Total Throughput (tokens/sec),1528.63,99.31,10992.53,,,,,,850.31,,3228.14,3560.52,5855.48,1280.41
Credit-to-Start Latency (ms),1.27,0.60,2.44,127.42,0.74,0.79,1.02,1.14,1.31,1.40,1.49,1.51,1.81,0.24
Decode Duration (ms),9458.90,2820.77,13858.79,945889.62,4857.17,6483.63,7514.01,8588.61,9800.57,10423.13,11241.55,11517.82,12984.88,1715.49
E2E Output Token Throughput (tokens/sec/user),97.00,64.88,143.86,9700.49,70.60,74.24,78.93,88.41,94.52,106.83,112.71,120.30,129.36,13.97
Effective Concurrency,7.73,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.08
Effective Decode Concurrency,7.18,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.35
Effective Decode Throughput (tokens/sec),741.96,0.00,1124.90,,,,,,768.14,,866.60,879.74,927.58,137.75
Effective Decode Throughput Per User (tokens/sec/user),103.47,0.00,298.58,,,,,,103.38,,112.82,118.34,128.84,10.89
Effective Latency (CO-aware) (ms),10180.86,3673.33,14475.89,1018085.54,5665.01,7118.26,8247.63,9273.24,10496.39,11150.05,12015.23,12305.95,13728.64,1714.22
Effective Prefill Concurrency,0.55,0.00,8.00,,,,,,0.00,,2.00,2.00,4.00,0.97
Effective Prefill Throughput (tokens/sec),786.63,0.00,10992.53,,,,,,0.00,,2626.41,2954.65,5440.28,1363.51
Effective Prefill Throughput Per User (tokens/sec/user),540.48,0.00,1743.44,,,,,,0.00,,1532.10,1627.71,1726.92,708.35
Effective Total Throughput (tokens/sec),1528.59,0.00,10992.53,,,,,,850.31,,3228.14,3560.52,5855.48,1280.42
