Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3612.15,0.00,6677.87,,,,,,5268.93,,5840.01,5931.63,6134.33,2293.91
Active Decode Throughput Per User (tokens/sec/user),91.05,0.00,324.45,,,,,,93.37,,126.78,149.27,152.63,30.57
Active Prefill Throughput (tokens/sec),552.03,36.55,4312.65,,,,,,500.20,,805.48,930.72,4312.65,500.68
Active Prefill Throughput Per User (tokens/sec/user),119.22,36.55,285.68,,,,,,117.05,,159.26,169.16,198.76,29.10
Active Total Throughput (tokens/sec),3947.06,36.55,5743.25,,,,,,5178.06,,5463.69,5517.08,5601.02,2090.41
Credit-to-Start Latency (ms),1.04,0.45,9.46,531.31,0.56,0.64,0.69,0.77,0.90,1.04,1.64,2.12,3.22,0.58
Decode Duration (ms),8553.80,2538.52,58312.26,4379546.73,2783.45,3392.30,3887.54,5303.30,7320.85,9381.85,12366.33,17918.24,35521.59,6516.93
E2E Output Token Throughput (tokens/sec/user),75.34,56.09,112.15,38574.24,62.61,66.08,67.79,71.47,75.26,79.09,82.76,84.95,90.29,6.03
Effective Concurrency,47.50,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,25.66
Effective Decode Concurrency,44.07,0.00,64.00,,,,,,58.00,,62.00,63.00,64.00,24.24
Effective Decode Throughput (tokens/sec),3585.96,0.00,6677.87,,,,,,5260.01,,5839.81,5929.78,6134.33,2306.03
Effective Decode Throughput Per User (tokens/sec/user),90.39,0.00,324.45,,,,,,93.34,,126.73,149.20,152.52,31.43
Effective Latency (CO-aware) (ms),9230.91,3180.79,58842.65,4726225.84,3557.62,4092.02,4595.82,5993.16,8024.25,10047.53,13020.64,18487.23,36072.99,6512.07
Effective Prefill Concurrency,3.43,0.00,64.00,,,,,,3.00,,7.00,8.00,23.00,6.51
Effective Prefill Throughput (tokens/sec),360.88,0.00,4312.65,,,,,,324.03,,728.74,841.00,1310.54,482.55
Effective Prefill Throughput Per User (tokens/sec/user),77.94,0.00,285.68,,,,,,97.28,,149.36,162.02,189.42,61.41
Effective Total Throughput (tokens/sec),3946.84,0.00,5743.25,,,,,,5178.06,,5461.93,5517.08,5601.02,2090.55
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,155.19,48.00,1037.00,79458.00,52.00,61.55,70.00,94.00,132.00,167.25,216.90,352.60,876.03,123.57
HTTP Chunks Sent,1.00,1.00,1.00,512.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.30,0.00,22.86,155.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31,4.74,1.60
HTTP Connection Overhead (ms),0.42,0.00,26.63,213.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31,8.50,2.05
HTTP Connection Reused (ratio),0.91,0.00,1.00,464.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.29
HTTP Data Received (KB),67.40,21.58,446.50,34507.88,23.30,27.38,30.96,41.32,57.51,72.62,93.77,151.79,377.24,52.91
HTTP Data Sent (KB),0.39,0.23,0.76,198.42,0.25,0.27,0.29,0.32,0.37,0.44,0.50,0.55,0.68,0.09
HTTP DNS Lookup (ms),0.11,0.00,4.00,58.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.73,0.64
HTTP Duration (excl. conn) (ms),9229.81,3179.57,58841.85,4725661.89,3556.81,4091.20,4594.99,5992.32,8023.59,10046.64,13019.81,18486.34,36071.94,6512.09
HTTP Receiving (ms),8562.84,2587.38,58312.26,4384176.05,2827.09,3392.30,3890.47,5325.25,7335.41,9381.86,12367.02,17918.24,35521.59,6516.79
HTTP Sending (ms),0.45,0.07,23.11,229.23,0.11,0.11,0.11,0.12,0.14,0.15,0.24,2.63,4.97,1.62
HTTP Total Time (ms),9230.23,3179.57,58841.85,4725875.43,3556.81,4091.20,4594.99,5992.32,8027.33,10046.64,13020.29,18486.34,36071.94,6512.03
HTTP Waiting (TTFB) (ms),666.52,428.15,1386.01,341256.61,432.74,438.99,482.99,541.78,624.86,739.73,923.83,952.78,1384.94,182.83
Input Sequence Length (tokens),70.12,34.00,148.00,35903.00,38.11,43.00,47.00,54.00,66.00,82.00,100.00,109.45,134.78,21.01
Inter Chunk Latency (ms),55.54,23.60,251.06,4379546.73,33.38,44.05,46.42,48.15,48.61,49.34,50.76,143.98,173.86,27.67
Inter Token Latency (ms),12.15,8.77,15.43,6221.13,10.14,10.66,11.04,11.50,12.14,12.68,13.32,13.88,14.65,0.95
Output Sequence Length (tokens),697.80,216.00,4096.00,357273.00,238.33,287.00,326.20,436.75,615.50,770.75,949.90,1489.30,3750.51,504.19
Output Token Count (tokens),168.90,31.00,408.00,85633.00,56.06,74.00,90.00,118.00,164.00,215.00,253.00,281.40,341.76,65.68
Output Token Throughput Per User (tokens/sec/user),82.80,64.82,114.08,42395.19,68.26,72.02,75.07,78.87,82.40,86.96,90.59,93.82,98.60,6.47
Prefill Throughput Per User (tokens/sec/user),112.46,36.55,337.13,57581.27,42.93,55.93,62.33,78.54,105.61,136.58,177.84,201.13,232.56,45.27
Reasoning Token Count (tokens),530.55,145.00,4096.00,271640.00,175.33,198.65,233.30,317.00,444.50,559.75,725.70,1197.25,3424.74,484.88
Request Latency (ms),9220.83,3139.84,58841.91,4721067.52,3556.88,4091.26,4595.05,5967.75,8023.64,10046.71,13019.50,18486.40,36072.01,6512.25
Time to First Output Token (ms),6745.95,2414.28,33794.95,3420194.95,2590.25,3000.30,3363.97,4355.95,6037.74,7412.61,9542.39,13461.21,25978.25,4251.01
Time to First Token (ms),667.03,428.35,1388.18,341520.78,432.94,439.21,483.20,541.96,625.06,739.93,926.99,952.98,1386.02,183.45
Time to Second Token (ms),59.82,30.68,194.07,30626.79,41.30,44.84,45.51,46.22,48.02,48.69,51.07,192.89,193.46,40.36
Tokens In Flight (tokens),26816.16,0.00,48503.66,,,,,,28286.57,,43113.56,44640.24,47696.64,12789.02
Usage Completion Tokens (tokens),697.80,216.00,4096.00,357273.00,238.33,287.00,326.20,436.75,615.50,770.75,949.90,1489.30,3750.51,504.19
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),70.12,34.00,148.00,35903.00,38.11,43.00,47.00,54.00,66.00,82.00,100.00,109.45,134.78,21.01
Usage Reasoning Tokens (tokens),530.55,145.00,4096.00,271640.00,175.33,198.65,233.30,317.00,444.50,559.75,725.70,1197.25,3424.74,484.88
Usage Total Tokens (tokens),767.92,255.00,4200.00,393176.00,286.22,340.65,380.10,505.50,683.00,853.25,1038.80,1576.25,3863.83,511.78

Metric,Value
Benchmark Duration (sec),99.48
Input Token Throughput (tokens/sec),360.88
Output Token Throughput (tokens/sec),3591.11
Overall Usage Prompt Cache Read % (%),0.00
Request Count,512.00
Request Throughput (requests/sec),5.15
Total Input Sequence Length (tokens),35903.00
Total Output Sequence Length (tokens),357273.00
Total Output Tokens (tokens),85633.00
Total Reasoning Tokens (tokens),271640.00
Total Token Throughput (tokens/sec),3951.99
Total Usage Completion Tokens (tokens),357273.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),35903.00
Total Usage Reasoning Tokens (tokens),271640.00
Total Usage Total Tokens (tokens),393176.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
